route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
761-62,          0,761,"Express - Brooklyn Park - Xerxes - 49th Av - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=761,,000000
762-62,          0,762,"Ltd Stop - Brooklyn Ctr - North Mpls - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=762,,000000
763-62,          0,763,"Express - 85th Av - Brookdale Dr - Humboldt - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=763,,000000
764-62,          0,764,"Express - Winnetka Av - 42nd Av - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=764,,000000
765-62,          0,765,"Express - Target - Hwy 252 and 73rd Av P&R - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=765,,000000
766-62,          0,766,"Express - Champlin - Noble P&R - West River Rd",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=766,,000000
767-62,          0,767,"Express - 63rd Av P&R - 65th Av P&R - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=767,,000000
771-62,          5,771,"Plymouth - SW Plymouth - Station 73",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=771,,000000
772-62,          5,772,"Plymouth - Express - Station 73",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=772,,000000
774-62,          5,774,"Plymouth - Express - Station 73",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=774,,000000
776-62,          5,776,"Plymouth - Express - Southwest Plymouth",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=776,,000000
777-62,          5,777,"Plymouth - Express - NW Plymouth - Station 73",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=777,,000000
780-62,          4,780,"Maple Grove - Express - Shepherd of the Grove P&R",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=780,,000000
781-62,          4,781,"Maple Grove - Express - Maple Grove Station",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=781,,000000
782-62,          4,782,"Maple Grove - Express - Zachary and 96th Av P&R",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=782,,000000
783-62,          4,783,"Maple Grove - Express - Crosswinds Church P&R",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=783,,000000
785-62,          4,785,"Maple Grove - Express - Parkway Station",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=785,,000000
787-62,          4,787,"Maple Grove - Midday Shuttle - Flex Route",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=787,,000000
788-62,          4,788,"Maple Grove - Bass Lake Rd - Crosswinds Church P&R",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=788,,000000
790-62,          5,790,"Plymouth - Express - Cub Foods - Four Seasons",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=790,,000000
791-62,          5,791,"Plymouth - Shuttle - Larch Ln - Four Seasons",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=791,,000000
793-62,          5,793,"Plymouth - Express - Cub Foods - Four Seasons",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=793,,000000
795-62,          5,795,"Plymouth - Express - Midday - Northeast Plymouth",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=795,,000000
801-62,          2,801,"Brooklyn Ctr - Columbia Heights - Rosedale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=801,,000000
